mmsi,risk_score
412440374,0.9998564015658722
412549274,0.9998499190501083
412341565,0.9998027913568546
412521533,0.9997858525937865
412328749,0.9997744094829296
412453217,0.9997488318232971
412326130,0.9997081139937298
412463276,0.9997028887813104
412486054,0.9996951692345286
412672230,0.9996906414019613
645380000,0.9996899161964816
412697270,0.9996770501614659
412426688,0.9996768897294719
412672260,0.9996584016424213
799,0.9996529059392462
412328751,0.9996434951491451
416669000,0.9995798439120189
412675720,0.9995759335306339
412585605,0.9995689887550118
412699060,0.9995616817615472
412420883,0.9995455423453691
412671330,0.9995409998987802
412881288,0.9995332482435171
412000924,0.9995239073495588
412699740,0.9995194604449201
