mmsi,ensemble_score
412440587,0.9967032396421284
412211644,0.9950841974629121
654077016,0.9928752797495106
150201073,0.9912847966850656
224464000,0.989652253833412
412354943,0.9890374539808809
413866688,0.9879823245042397
412440588,0.9877824107008407
525800070,0.9875799006142806
366929110,0.9872667888650608
412371232,0.98718890037023
412354942,0.9869443304964612
412549238,0.9866815866405654
668116130,0.9866608163752771
412549307,0.9866078521987922
413888637,0.9856056868986359
413888636,0.985603609872107
413800130,0.9848579573482602
223123456,0.984637273279573
416085900,0.9845022665551996
367592070,0.9844358017062773
416087700,0.9840873805060675
413565688,0.9838313869863903
416028900,0.983828271446597
416019700,0.9837768650400087
416031500,0.9837363630226967
413500223,0.9836698981737744
416032500,0.9836641863508202
416078600,0.9835525461748961
416016700,0.9834782924764907
413805203,0.9832872060358391
416030500,0.9832113945675371
416069500,0.9831033891880384
416042600,0.9829024368713749
416088900,0.9828925709953631
416008413,0.9828801088361901
416009372,0.9828053358811525
416055600,0.9827492561648744
416016800,0.9827243318465285
416009377,0.9826770794929979
416009187,0.9825664778303381
416009688,0.9825270143262905
416009648,0.9820171043134649
416037500,0.9820056806675563
338361191,0.9819210418365069
672913000,0.9818909249518389
416006701,0.9818680776600219
413568100,0.9816427202816448
416017500,0.9816281810959431
416008874,0.98154977334448
413487855,0.9815326378756173
413555168,0.9814142473634745
416008893,0.9813836112221743
413567172,0.9812958568513316
413500096,0.9812792406391011
416035900,0.9811234636494395
416006804,0.9811141170300598
413689035,0.9811063281805766
416009677,0.9810071501638254
413586597,0.9809827451021118
983110470,0.9808648738466013
416081600,0.9808513731741638
413525568,0.980826448855818
413888638,0.9807807542721839
213942000,0.9807599840068957
413456788,0.9807516759007804
416009012,0.9806940384146057
367450510,0.9805901870881646
416028700,0.9804837394785625
416000205,0.980442198947986
416016600,0.9803793688954893
416009215,0.9803399053914417
416094500,0.9803175773562568
416029800,0.9802365733216327
416008626,0.9801908787379987
416059900,0.9801862054283088
416080500,0.9801727047558715
416060500,0.9801560885436409
416058900,0.980088065924822
416007289,0.9800724882258559
416008609,0.980057429783522
416009307,0.9800402943146591
416006772,0.9799457896075978
416008577,0.9799037298203891
416089800,0.9798554389535941
