mmsi,risk_score,rule_risk_score,is_iuu,in_target_region,flag_risk_score,near_eez_boundary_50km,sar_manual_bin_hits_at_region_mean,gap_hours_mean,gap_days_fraction,region_hours_fraction,region_fishing_hours_sum,all_fishing_hours_sum
412453216,0.9990673844466808,0,0,0,3.525,0,0,,,0.0,0.0,320.8377
412280734,0.999060792669237,0,0,0,3.525,0,0,,,0.0,0.0,143.216
998520422,0.9990455281362518,0,0,0,3.525,0,0,,,0.0,0.0,366.1966
645381000,0.9990251644911349,0,0,0,2.4,0,0,,,0.0,0.0,476.1144
412006002,0.9990237963077081,0,0,0,3.525,0,0,,,0.0,0.0,568.0015
412420836,0.9990230467840248,0,0,0,3.525,0,0,,,0.0,0.0,12523.0458
422172405,0.99902210804417,0,0,0,3.1052631578947367,0,0,,,0.0,0.0,1343.2527
412699750,0.9990080864637715,0,0,0,3.525,0,0,,,0.0,0.0,273.8033
412702490,0.9990060940287182,0,0,0,3.525,0,0,,,0.0,0.0,51.0406
412674950,0.9990019367575885,0,0,0,3.525,0,0,,,0.0,0.0,864.7934
412672250,0.9989922595733013,0,0,0,3.525,0,0,,,0.0,0.0,2959.4715
412430456,0.9989903648252393,0,0,0,3.525,0,0,,,0.0,0.0,37.6218
412329678,0.9989828501156786,0,0,0,3.525,0,0,,,0.0,0.0,6852.8529
413500223,0.9989703424839187,0,0,0,3.525,0,0,,,0.0,0.0,712.09
412596853,0.9989679133211309,0,0,0,3.525,0,0,,,0.0,0.0,6492.5597
413866688,0.9989648994627024,0,0,0,3.525,0,0,,,0.0,0.0,748.5407
412695240,0.9989612845436073,0,0,0,3.525,0,0,,,0.0,0.0,4457.3906
412500512,0.9989595968705646,0,0,0,3.525,0,0,,,0.0,0.0,361.6505
416042600,0.9989590740592709,0,0,0,2.975,0,0,,,0.0,0.0,402.5238
412440377,0.9989567879578938,0,0,0,3.525,0,0,,,0.0,0.0,578.5942
